Compound,TreatmentGroup,T1,T2,T3,T5,T6,meanLog2FC,sdLog2FC,meanFC,p_value_tLOG,fdr_tLOG
Cer d16:1/24:0,ACTH,1.6251153116812602,0.920759490924076,1.5949007377772755,-0.4029139401963539,-0.08502791233328573,0.7305667375705944,0.9398719033208381,1.6592907870466147,0.15718566306924117,0.25129682439732187
Cer d18:1/16:0,ACTH,1.0376217484777484,0.37299610518241766,0.884691463781074,-0.08424405107332161,2.170305637671676,0.8762741808079189,0.8480131771942182,1.8356285883818988,0.081979365693877,0.1535583640982323
Cer d18:1/18:0,ACTH,2.432466599400814,1.860819775676515,1.4227968084523053,1.2002861042969577,3.02409654695508,1.9880931669563344,0.7461851660065836,3.967123105195886,0.003984589503620397,0.03573699558721478
Cer d18:1/20:0,ACTH,1.6120546825241493,1.5065711783179878,1.3137990785283205,0.2063881447773028,3.086401863373509,1.545042989504254,1.0280112310898197,2.9181276417089013,0.02828688559983521,0.07500419045671726
Cer d18:1/22:0,ACTH,1.402562496790596,1.106989793391996,0.7963454816405319,0.26238104589790096,1.8793123605357498,1.0895182356513549,0.6107746963552798,2.1280296256497553,0.01628167129356417,0.05448932659579476
Cer d18:1/23:0,ACTH,1.3159905055349765,0.7436825103807869,1.044172404041907,0.7346358112883596,1.5144024001111211,1.0705767262714303,0.34555117811494074,2.1002727965004184,0.0022790192887684304,0.028601692074043804
Cer d18:1/24:0,ACTH,1.32554193739218,0.5375831731795836,1.311245311544424,0.38372712407139314,1.9636704021002054,1.1043535896575571,0.6462749147621508,2.150025230124597,0.018762367938337448,0.06132909769965375
Cer d18:1/24:1,ACTH,1.2357960729674207,0.5869779817310031,0.7223784239557459,0.18284387125861087,2.1585207684816994,0.977303423678896,0.7600328203351963,1.9687820693929567,0.04522685771739788,0.1013566186345256
Cer d18:1/25:0,ACTH,1.2880098453554991,0.197312577220914,0.7386771970771234,0.0811460126383104,1.6906395952676154,0.7991570455118925,0.6919415827657039,1.7400841131018434,0.06116298948370515,0.12687529223479332
Cer d18:1/25:1,ACTH,1.469672187528883,0.5147746524810722,0.8784543170990562,0.6218620835326855,2.3787957861541735,1.172711805359174,0.7690461982026028,2.2543504473262037,0.027033350572557298,0.07375403254034654
Cer d18:2/16:0,ACTH,0.34675275971236924,0.30997071975470053,-0.014182102990027198,-1.1505596765753812,1.2157055262092051,0.14153744522217332,0.8541199724475711,1.1030800154354878,0.729766498269004,0.7963973524587825
Cer d18:2/18:0,ACTH,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
Cer d18:2/22:0,ACTH,0.2644512436995857,1.004866971080956,0.24396939620859356,-0.7389138659557276,0.8151393201416678,0.3179026130350151,0.6790339851252412,1.246517047171271,0.3542520811406056,0.44458636183145994
Cer d18:2/23:0,ACTH,0.45377225307810265,0.30607825517418,0.5545049171591616,-0.3536369546147006,0.37232527938999926,0.2666087500373486,0.3589404339397244,1.2029767419142063,0.17207506352430502,0.2699427559037535
Cer d18:2/24:0,ACTH,0.16355615412375518,1.280318224592654,1.3369013982186404,-0.5715924071563179,1.4336006856296535,0.728556811081677,0.8917993596128909,1.6569807143465372,0.14175991974167623,0.23068307612301267
Cer d18:2/24:1,ACTH,-0.19336588487264822,0.6412493165197714,-0.282362046793797,-1.7459958347431639,1.3100904080629252,-0.05407680836538251,1.1487532593058514,-1.0381945420320327,0.9212356267256407,0.9594611714030533
Hex1Cer d18:1/16:0,ACTH,0.1652248164411622,0.7325864998698699,1.2252987521766927,0.38423133496211315,-0.08725540537847172,0.48401719961427325,0.512157990459896,1.3986327569487778,0.10212072111813769,0.1824536784374939
Hex1Cer d18:1/16:1,ACTH,-0.21760153954756942,0.6762182447220406,1.448314965308147,1.7148647331743165,0.255031011423839,0.7753654830161547,0.8065484318769209,1.71162360808296,0.09802375760207244,0.1789849161944629
Hex1Cer d18:1/18:0,ACTH,1.3494643485407607,1.8677323020883096,2.4447211948188308,1.6911808336313565,1.1642200852894098,1.7034637528737335,0.49817088757349565,3.256819473389893,0.0015718955311525013,0.02320857519525164
Hex1Cer d18:1/20:0,ACTH,0.06815896533609722,1.5400264257682483,1.1787903587936466,0.761179896649833,1.3189251457266575,0.9734161584548965,0.5803311627841387,1.9634844308980175,0.019935664606164707,0.06319491187085675
Hex1Cer d18:1/22:0,ACTH,0.4161836860671118,1.1389204162682967,1.8264185199788696,0.7812881005448568,1.388088701473273,1.1101798848664817,0.5433363692646892,2.158725620576935,0.010269510235396125,0.042745543577775026
Hex1Cer d18:1/23:0,ACTH,0.8974431284539593,1.1120616186426127,1.408777006398675,0.6083276502108986,0.5245732891230964,0.9102365385658484,0.3637735391681619,1.8793536045441865,0.005007978116668682,0.03573699558721478
Hex1Cer d18:1/24:0,ACTH,-0.3241438207589445,1.2689769971993556,1.3025989581209054,0.41935746204719193,1.0567082858781545,0.7446995764973325,0.694935548791513,1.6756253046374072,0.07466416462723671,0.14431958721404847
Hex1Cer d18:1/24:1,ACTH,0.1697290452127103,0.6325824642605312,0.977288408895052,-0.34049590905042015,0.9680558067356169,0.48143196321069803,0.565297928102839,1.3961287221469234,0.1295899130440179,0.21830247096676839
Hex1Cer d18:1/25:0,ACTH,0.7465162273960799,1.1306053513227423,1.0654155171416784,0.6540248121551403,0.19096852773747036,0.7575060871506223,0.37610013145474974,1.6905657032348853,0.010792093681385997,0.042745543577775026
Hex1Cer d18:2/16:0,ACTH,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
Hex1Cer d18:2/24:0,ACTH,-0.22052866577374905,2.355732740380429,2.5200924320293416,-0.33555165930162983,1.4990186894472082,1.16375270735632,1.3726821946900234,2.2403943690293957,0.13088254936385538,0.21901013260218466
Hex2Cer d18:1/16:0,ACTH,0.3581765835705145,-0.18893521255516452,0.4553757209314299,-0.10425742373498821,0.9162883015941199,0.2873295939611823,0.44972669783656793,1.2203792827694864,0.226311870169873,0.32834843591120305
Hex2Cer d18:1/18:0,ACTH,0.10964190978288686,0.2820553054177916,0.3820226839802035,0.22687911569764416,1.310337541287387,0.46218731123318263,0.48422384459375456,1.37762889819148,0.09972379452953384,0.18007678004973376
Hex2Cer d18:1/20:0,ACTH,0.36652542554519235,-0.18692727175370916,0.13406323823012997,-0.5165320848060718,1.5341748009659826,0.26626082163630477,0.7831473732960541,1.2026866602984794,0.4894573411702581,0.5726143048094695
Hex2Cer d18:1/22:0,ACTH,0.8572513556143128,-0.6402536147501352,0.9190637907537847,-0.2882786820019338,1.718511171705843,0.5132588042643743,0.9628986284103317,1.4272705200221787,0.2991794443207111,0.401572409221917
Hex2Cer d18:1/23:0,ACTH,0.9046631039597703,-1.59319970567995,0.39759262049163785,-0.4498325406686105,0.7971850544908498,0.011281706518739476,1.0430720812763006,1.007850538205385,0.9818634855902435,0.9882809673309485
Hex2Cer d18:1/24:0,ACTH,0.6200268568173749,0.3445800667285764,1.061038892506505,-1.3123492999470465,2.157860396179384,0.5742313824569587,1.2608415868430634,1.4888840263620535,0.3660807877875395,0.45714566037150456
Hex2Cer d18:1/24:1,ACTH,0.199605468501798,-0.2676297812802257,1.0851973464330018,-0.8135754233582402,2.3379014483901215,0.5082998117372911,1.2374334307757218,1.4223729684087567,0.4103270201066819,0.5024004002281812
Hex2Cer d18:2/16:0,ACTH,-0.46357809232177505,0.8837538012618857,0.42944482410223095,-0.8031499094502274,4.091559613676617,0.8276060474537463,1.9456103981966122,1.7747379858165282,0.3953851927429801,0.49129546226974263
Hex2Cer d18:2/22:0,ACTH,NA,NA,NA,NA,NA,NaN,NaN,NaN,NA,NA
Hex2Cer d18:2/24:1,ACTH,-1.4656449910146883,-1.712900356354242,-0.2710720283959533,-0.36480307035532306,1.5719624738263094,-0.44849159445877945,1.2994274376452828,-1.3646127437924693,0.4833146027470235,0.569539743143206
