Compound,TreatmentGroup,T1,T2,T3,T4,T5,meanLog2FC,sdLog2FC,meanFC,p_value_tLOG,fdr_tLOG
LPE 16:0,ACTH,-0.6342439940619533,-0.27199671333851466,0.19295025941590754,-0.21365259899894945,-0.18651380295042921,-0.22269136998678782,0.29408972231971764,-1.1669084430321643,0.16566993618640102,0.28400560489097315
LPE 18:0,ACTH,0.03693139743775529,0.28277096851085237,0.8191348127344069,-0.15790357446808068,0.3199590826520221,0.2601785373733912,0.3678138751580877,1.1976269049841715,0.18887522472235804,0.3090685495456768
LPE 18:1,ACTH,0.01828008727805658,-0.25972339179938353,0.42965741206165575,0.13070712332617873,0.04111869698302978,0.07200798556990747,0.24761120884301463,1.0511787275300968,0.5509760702704591,0.6492467100206794
LPE 18:2,ACTH,0.27691419529818145,1.2292865134141382,1.5411814798710604,0.9846059400487214,0.8167510913547714,0.9697478439973746,0.473693982238991,1.9584982565384295,0.010201290468517763,0.04496952242218776
LPE 20:4,ACTH,0.1533106279715496,0.6868186466745819,0.8463898624031458,-0.05997906808036978,-0.04122657491186515,0.31706269881140847,0.4225674932619151,1.2457915558765544,0.16869445710605577,0.2872365080454463
PE 34:1,ACTH,-0.5064112930049212,-0.6317252768787328,-0.6677928499182254,-0.9639975171676376,-1.1027748738604521,-0.7745403621659939,0.24865452234701804,-1.7106449587522485,0.0022334620850938186,0.02508420061825455
PE 34:2,ACTH,-0.053840172642965145,0.5884897195197921,0.34587591143587976,-0.4642428465566054,-0.006219013487909656,0.08201271965363834,0.4033542878367353,1.0584937271413806,0.6729401534236676,0.7536929718345078
PE 36:1,ACTH,0.5192518780835449,-0.3244401689102299,0.03172986778528927,-0.13628962727678998,0.2602713085317779,0.07010465164271842,0.330769340418597,1.0497928317740506,0.6602656208826119,0.7447685955969796
PE 36:2,ACTH,0.3475987961165246,0.7331891321294467,0.6832384757360118,0.24143573934485987,0.5200977097782663,0.5051119706210219,0.21113287930045022,1.4192335016472328,0.005887441627515279,0.033131255584910334
PE 36:3,ACTH,-0.056516524341073564,0.29368172055338715,0.4026309568157434,-0.17712124019689285,0.35399551383816896,0.16333408533386662,0.2621304056592513,1.1198721877766806,0.23596238484136015,0.3636780259685044
PE 36:4,ACTH,-0.49951587543762394,-1.00716385516542,-0.6541288528921205,-1.154705260479355,-0.7414859998486746,-0.8113999687646388,0.26602437724100025,-1.7549135573887904,0.0024162527683914735,0.02508420061825455
PE 38:3,ACTH,0.8365814885860234,0.8382484151154742,0.5807011808003233,-0.19886561542685993,1.2190404091223381,0.6551411756394598,0.5289849019235555,1.574770045503497,0.05036493196099948,0.10941347288079199
PE 38:4,ACTH,-0.0906269206169774,-0.43451617383937713,-0.3614403365334435,-1.0873555601435925,-0.3497437286212288,-0.46473654395092384,0.3716245331008695,-1.3800653113890773,0.048994859099411224,0.10802437249561056
PE 38:5,ACTH,-0.48336150812474693,-1.7194466850652796,-1.2246147805404066,-1.2255118106780272,-0.4454615289146116,-1.0196792626646145,0.5457569947672817,-2.027468166439951,0.013942870073427047,0.05244183967915845
PE 38:6,ACTH,-0.6529548400323246,-1.3141986335606477,-0.2885142037315292,-1.0639030651061412,-0.7102124073374274,-0.8059566299536141,0.3953382937360366,-1.7483046828006819,0.010350128176535278,0.04496952242218776
PE 40:4,ACTH,-0.18813856155571237,-1.9236353141952691,-1.591145151378304,-2.2320970004523857,-0.9399706582969226,-1.3749973371757187,0.8185696831675621,-2.5936743220773177,0.019842713102107452,0.06190758761434295
PE 40:5,ACTH,-0.3079304645468309,-1.9862637864362571,-2.0022427594410432,-1.3924959751653454,-0.8791984598101245,-1.3136262890799202,0.7302406972726491,-2.4856553785134405,0.015832225880740007,0.056193252421781435
PE 40:6,ACTH,0.40939293883635086,-1.8555416919305545,-0.14717207862561998,-0.6781546564471651,-0.07097143908697,-0.4684893854507918,0.8659988931019629,-1.3836599091937312,0.2930064622416879,0.4219293056280306
